Waiting for serial port to connect: .....
Setting serial port parameters... Ok
Initiating communication... Ok
0x200009f4	0x0000
0x200009f8	0x0000
0x200009fc	0x0000
0x20000a00	0x0000
0x20000a04	0x0000
0x20000a08	0x0000
0x20000a0c	0x0000
0x20000a10	0x0000
0x20000a14	0x0000
0x20000a18	0x0000
0x20000a1c	0x0000
0x20000a20	0x0000
0x20000a24	0x0000
0x20000a28	0x0000
0x20000a2c	0x0000
0x20000a30	0x0000
0x20000a34	0x0000
0x20000a38	0x0000
0x20000a3c	0x0000
0x20000a40	0x0000
0x20000a44	0x0000
0x20000a48	0x0000
0x20000a4c	0x0000
0x20000a50	0x0000
0x20000a54	0x0000
0x20000a58	0x0000
0x20000a5c	0x0000
0x20000a60	0x0000
0x20000a64	0x0000
0x20000a68	0x0000
0x20000a6c	0x0000
0x20000a70	0x0000
0x20000a74	0x0000
0x20000a78	0x0000
0x20000a7c	0x0000
0x20000a80	0x0000
0x20000a84	0x0000
0x20000a88	0x0000
0x20000a8c	0x0000
0x20000a90	0x0000
0x20000a94	0x0000
0x20000a98	0x0000
0x20000a9c	0x0000
0x20000aa0	0x0000
0x20000aa4	0x0000
0x20000aa8	0x0000
0x20000aac	0x0000
0x20000ab0	0x0000
0x20000ab4	0x0000
0x20000ab8	0x0000
0x20000abc	0x0000
0x20000ac0	0x0000
0x20000ac4	0x0000
0x20000ac8	0x0000
0x20000acc	0x0000
0x20000ad0	0x0000
0x20000ad4	0x0000
0x20000ad8	0x0000
0x20000adc	0x0000
0x20000ae0	0x0000
0x20000ae4	0x0000
0x20000ae8	0x0000
0x20000aec	0x0000
0x20000af0	0x0000
0x20000af4	0x0000
0x20000af8	0x0000
0x20000afc	0x0000
0x20000b00	0x0000
0x20000b04	0x0000
0x20000b08	0x0000
0x20000b0c	0x0000
0x20000b10	0x0000
0x20000b14	0x0000
0x20000b18	0x0000
0x20000b1c	0x0000
0x20000b20	0x0000
0x20000b24	0x0000
0x20000b28	0x0000
0x20000b2c	0x0000
0x20000b30	0x0000
0x20000b34	0x0000
0x20000b38	0x0000
0x20000b3c	0x0000
0x20000b40	0x0000
0x20000b44	0x0000
0x20000b48	0x0000
0x20000b4c	0x0000
0x20000b50	0x0000
0x20000b54	0x0000
0x20000b58	0x0000
0x20000b5c	0x0000
0x20000b60	0x0000
0x20000b64	0x0000
0x20000b68	0x0000
0x20000b6c	0x0000
0x20000b70	0x0000
0x20000b74	0x0000
0x20000b78	0x0000
0x20000b7c	0x0000
0x20000b80	0x0000
0x20000b84	0x0000
0x20000b88	0x0000
0x20000b8c	0x0000
0x20000b90	0x0000
0x20000b94	0x0000
0x20000b98	0x0000
0x20000b9c	0x0000
0x20000ba0	0x0000
0x20000ba4	0x0000
0x20000ba8	0x0000
0x20000bac	0x0000
0x20000bb0	0x0000
0x20000bb4	0x0000
0x20000bb8	0x0000
0x20000bbc	0x0000
0x20000bc0	0x0000
0x20000bc4	0x0000
0x20000bc8	0x0000
0x20000bcc	0x0000
0x20000bd0	0x0000
0x20000bd4	0x0000
0x20000bd8	0x0000
0x20000bdc	0x0000
0x20000be0	0x0000
0x20000be4	0x0000
0x20000be8	0x0000
0x20000bec	0x0000
0x20000bf0	0x0000
0x20000bf4	0x0000
0x20000bf8	0x0000
0x20000bfc	0x0000
0x20000c00	0x0000
0x20000c04	0x0000
0x20000c08	0x0000
0x20000c0c	0x0000
0x20000c10	0x0000
0x20000c14	0x0000
0x20000c18	0x0000
0x20000c1c	0x0000
0x20000c20	0x0000
0x20000c24	0x0000
0x20000c28	0x0000
0x20000c2c	0x0000
0x20000c30	0x0000
0x20000c34	0x0000
0x20000c38	0x0000
0x20000c3c	0x0000
0x20000c40	0x0000
0x20000c44	0x0000
0x20000c48	0x0000
0x20000c4c	0x0000
0x20000c50	0x0000
0x20000c54	0x0000
0x20000c58	0x0000
0x20000c5c	0x0000
0x20000c60	0x0000
0x20000c64	0x0000
0x20000c68	0x0000
0x20000c6c	0x0000
0x20000c70	0x0000
0x20000c74	0x0000
0x20000c78	0x0000
0x20000c7c	0x0000
0x20000c80	0x0000
0x20000c84	0x0000
0x20000c88	0x0000
0x20000c8c	0x0000
0x20000c90	0x0000
0x20000c94	0x0000
0x20000c98	0x0000
0x20000c9c	0x0000
0x20000ca0	0x0000
0x20000ca4	0x0000
0x20000ca8	0x0000
0x20000cac	0x0000
0x20000cb0	0x0000
0x20000cb4	0x0000
0x20000cb8	0x0000
0x20000cbc	0x0000
0x20000cc0	0x0000
0x20000cc4	0x0000
0x20000cc8	0x0000
0x20000ccc	0x0000
0x20000cd0	0x0000
0x20000cd4	0x0000
0x20000cd8	0x0000
0x20000cdc	0x0000
0x20000ce0	0x0000
0x20000ce4	0x0000
0x20000ce8	0x0000
0x20000cec	0x0000
0x20000cf0	0x0000
0x20000cf4	0x0000
0x20000cf8	0x0000
0x20000cfc	0x0000
0x20000d00	0x0000
0x20000d04	0x0000
0x20000d08	0x0000
0x20000d0c	0x0000
0x20000d10	0x0000
0x20000d14	0x0000
0x20000d18	0x0000
0x20000d1c	0x0000
0x20000d20	0x0000
0x20000d24	0x0000
0x20000d28	0x0000
0x20000d2c	0x0000
0x20000d30	0x0000
0x20000d34	0x0000
0x20000d38	0x0000
0x20000d3c	0x0000
0x20000d40	0x0000
0x20000d44	0x0000
0x20000d48	0x0000
0x20000d4c	0x0000
0x20000d50	0x0000
0x20000d54	0x0000
0x20000d58	0x0000
0x20000d5c	0x0000
0x20000d60	0x0000
0x20000d64	0x0000
0x20000d68	0x0000
0x20000d6c	0x0000
0x20000d70	0x0000
0x20000d74	0x0000
0x20000d78	0x0000
0x20000d7c	0x0000
0x20000d80	0x0000
0x20000d84	0x0000
0x20000d88	0x0000
0x20000d8c	0x0000
0x20000d90	0x0000
0x20000d94	0x0000
0x20000d98	0x0000
0x20000d9c	0x0000
0x20000da0	0x0000
0x20000da4	0x0000
0x20000da8	0x0000
0x20000dac	0x0000
0x20000db0	0x0000
0x20000db4	0x0000
0x20000db8	0x0000
0x20000dbc	0x0000
0x20000dc0	0x0000
0x20000dc4	0x0000
0x20000dc8	0x0000
0x20000dcc	0x0000
0x20000dd0	0x0000
0x20000dd4	0x0000
0x20000dd8	0x0000
0x20000ddc	0x0000
0x20000de0	0x0000
0x20000de4	0x0000
0x20000de8	0x0000
0x20000dec	0x0000
0x20000df0	0x0000
0x20000df4	0x0000
0x20000df8	0x0000
0x20000dfc	0x0000
0x20000e00	0x0000
0x20000e04	0x0000
0x20000e08	0x0000
0x20000e0c	0x0000
0x20000e10	0x0000
0x20000e14	0x0000
0x20000e18	0x0000
0x20000e1c	0x0000
0x20000e20	0x0000
0x20000e24	0x0000
0x20000e28	0x0000
0x20000e2c	0x0000
0x20000e30	0x0000
0x20000e34	0x0000
0x20000e38	0x0000
0x20000e3c	0x0000
0x20000e40	0x0000
0x20000e44	0x0000
0x20000e48	0x0000
0x20000e4c	0x0000
0x20000e50	0x0000
0x20000e54	0x0000
0x20000e58	0x0000
0x20000e5c	0x0000
0x20000e60	0x0000
0x20000e64	0x0000
0x20000e68	0x0000
0x20000e6c	0x0000
0x20000e70	0x0000
0x20000e74	0x0000
0x20000e78	0x0000
0x20000e7c	0x0000
0x20000e80	0x0000
0x20000e84	0x0000
0x20000e88	0x0000
0x20000e8c	0x0000
0x20000e90	0x0000
0x20000e94	0x0000
0x20000e98	0x0000
0x20000e9c	0x0000
0x20000ea0	0x0000
0x20000ea4	0x0000
0x20000ea8	0x0000
0x20000eac	0x0000
0x20000eb0	0x0000
0x20000eb4	0x0000
0x20000eb8	0x0000
0x20000ebc	0x0000
0x20000ec0	0x0000
0x20000ec4	0x0000
0x20000ec8	0x0000
0x20000ecc	0x0000
0x20000ed0	0x0000
0x20000ed4	0x0000
0x20000ed8	0x0000
0x20000edc	0x0000
0x20000ee0	0x0000
0x20000ee4	0x0000
0x20000ee8	0x0000
0x20000eec	0x0000
0x20000ef0	0x0000
